set,n,result,instance,D,runtime,seed
BBGRL,1000,946,1000_ep0.0125_0_gilbert_9.in,10,167.3324,1.50371E+18
BBGRL,1000,995,1000_ep0.0125_0_gilbert_2.in,1,60.4473,1.50371E+18
BBGRL,1000,990,1000_ep0.0125_0_gilbert_2.in,2,167.2179,1.50371E+18
BBGRL,1000,984,1000_ep0.0125_0_gilbert_2.in,3,167.2481,1.50371E+18
BBGRL,1000,979,1000_ep0.0125_0_gilbert_2.in,4,167.3509,1.50371E+18
BBGRL,1000,973,1000_ep0.0125_0_gilbert_2.in,5,167.3815,1.50371E+18
BBGRL,1000,968,1000_ep0.0125_0_gilbert_2.in,6,167.2473,1.50371E+18
BBGRL,1000,961,1000_ep0.0125_0_gilbert_2.in,7,167.2554,1.50371E+18
BBGRL,1000,958,1000_ep0.0125_0_gilbert_2.in,8,167.2789,1.50371E+18
BBGRL,1000,950,1000_ep0.0125_0_gilbert_2.in,9,167.3286,1.50371E+18
BBGRL,1000,2,1000_ep0.0125_0_gilbert_2.in,10,51.1495,1.50371E+18
BBGRL,1000,995,1000_ep0.0125_0_gilbert_8.in,1,64.1626,1.50371E+18
BBGRL,1000,989,1000_ep0.0125_0_gilbert_8.in,2,167.4564,1.50371E+18
BBGRL,1000,983,1000_ep0.0125_0_gilbert_8.in,3,167.2317,1.50371E+18
BBGRL,1000,977,1000_ep0.0125_0_gilbert_8.in,4,167.5323,1.50371E+18
BBGRL,1000,971,1000_ep0.0125_0_gilbert_8.in,5,167.4559,1.50371E+18
BBGRL,1000,967,1000_ep0.0125_0_gilbert_8.in,6,167.2081,1.50371E+18
BBGRL,1000,960,1000_ep0.0125_0_gilbert_8.in,7,167.293,1.50371E+18
BBGRL,1000,950,1000_ep0.0125_0_gilbert_8.in,8,167.419,1.50371E+18
BBGRL,1000,2,1000_ep0.0125_0_gilbert_8.in,9,49.7113,1.50371E+18
BBGRL,1000,1,1000_ep0.0125_0_gilbert_8.in,10,17.4922,1.50371E+18
BBGRL,1000,994,1000_ep0.01_0_gilbert_9.in,1,58.9639,1.50371E+18
BBGRL,1000,988,1000_ep0.01_0_gilbert_9.in,2,167.1685,1.50371E+18
BBGRL,1000,982,1000_ep0.01_0_gilbert_9.in,3,167.8384,1.50371E+18
BBGRL,1000,974,1000_ep0.01_0_gilbert_9.in,4,167.4487,1.50371E+18
BBGRL,1000,2,1000_ep0.01_0_gilbert_9.in,5,55.8966,1.50371E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_9.in,6,11.3016,1.50371E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_9.in,7,10.9786,1.50371E+18
